,,,ポケモン名,H,A,B,C,D,S,計
1,3,3,フシギバナ,80,82,83,100,100,80,525
2,3,10033,メガフシギバナ,80,100,123,122,120,80,625
3,6,6,リザードン,78,84,78,109,85,100,534
4,6,10034,メガリザードンX,78,130,111,130,85,100,634
5,6,10035,メガリザードンY,78,104,78,159,115,100,634
6,9,9,カメックス,79,83,100,85,105,78,530
7,9,10036,メガカメックス,79,103,120,135,115,78,630
8,12,12,バタフリー,60,45,50,90,80,70,395
9,15,15,スピアー,65,90,40,45,80,75,395
10,15,10090,メガスピアー,65,150,40,15,80,145,495
11,18,18,ピジョット,83,80,75,70,70,101,479
12,18,10073,メガピジョット,83,80,80,135,80,121,579
13,20,20,ラッタ,55,81,60,50,70,97,413
14,20,10092,Rラッタ,75,71,70,40,80,77,413
15,22,22,オニドリル,65,90,65,61,61,100,442
16,24,24,アーボック,60,95,69,65,79,80,448
17,25,25,ピカチュウ,35,55,40,50,50,90,320
18,26,10305,ライチュウ,60,90,55,90,80,110,485
19,26,26,Rライチュウ,60,85,50,95,85,110,485
20,26,10100,メガライチュウX,60,135,95,90,95,110,585
21,26,10304,メガライチュウY,60,100,55,160,80,130,585
22,28,28,サンドパン,75,100,110,45,55,65,450
23,28,10102,Rサンドパン,75,100,120,25,65,65,450
24,31,31,ニドクイン,90,92,87,75,85,76,505
25,34,34,ニドキング,81,102,77,85,75,85,505
26,35,35,ピッピ,70,45,48,60,65,35,323
27,36,36,ピクシー,95,70,73,95,90,60,483
28,36,10073,メガピクシー,95,80,93,135,110,70,583
29,38,10104,Rキュウコン,73,67,75,81,100,109,505
30,38,38,キュウコン,73,76,75,81,100,100,505
31,39,39,プリン,115,45,20,45,25,20,270
32,40,40,プクリン,140,70,45,85,50,45,435
33,45,45,ラフレシア,75,80,85,110,90,50,490
34,47,47,パラセクト,60,95,80,60,80,30,405
35,49,49,モルフォン,70,65,60,90,75,90,450
36,51,51,ダグトリオ,35,100,50,50,70,120,425
37,51,10106,Rダグトリオ,35,100,60,50,70,110,425
38,53,53,ペルシアン,65,70,60,65,65,115,440
39,53,10108,Rペルシアン,65,60,60,75,65,115,440
40,55,55,ゴルダック,80,82,78,95,80,85,500
41,57,57,オコリザル,65,105,60,60,70,95,455
42,59,59,ウインディ,90,110,80,100,80,95,555
43,59,10230,Rウインディ,95,115,80,95,80,90,555
44,62,62,ニョロボン,90,95,95,70,90,70,510
45,65,65,フーディン,55,50,45,135,95,120,500
46,65,10037,メガフーディン,55,50,65,175,105,150,600
47,68,68,カイリキー,90,130,80,65,85,55,505
48,71,71,ウツボット,80,105,65,100,70,70,490
49,71,10279,メガウツボット,80,125,85,135,95,70,590
50,73,73,ドククラゲ,80,70,65,80,120,100,515
51,76,76,ゴローニャ,80,120,130,55,65,45,495
52,76,10111,Rゴローニャ,80,120,130,55,65,45,495
53,78,78,ギャロップ,65,100,70,80,80,105,500
54,78,10163,Rギャロップ,65,100,70,80,80,105,500
55,80,80,ヤドラン,95,75,110,100,80,30,490
56,80,10165,Rヤドラン,95,100,95,100,70,30,490
57,80,10071,メガヤドラン,95,75,180,130,80,30,590
58,82,82,レアコイル,50,60,95,120,70,70,465
59,83,83,カモネギ,52,90,55,58,62,60,377
61,85,85,ドードリオ,60,110,70,60,60,110,470
62,87,87,ジュゴン,90,70,80,70,95,70,475
63,89,89,ベトベトン,105,105,75,65,100,50,500
64,89,10113,Rベトベトン,105,105,75,65,100,50,500
65,91,91,パルシェン,50,95,180,85,45,70,525
66,94,94,ゲンガー,60,65,60,130,75,110,500
67,94,10038,メガゲンガー,60,65,80,170,95,130,600
68,95,95,イワーク,35,45,160,30,45,70,385
69,97,97,スリーパー,85,73,70,73,115,67,483
70,99,99,キングラー,55,130,115,50,50,75,475
71,101,101,マルマイン,60,50,70,80,80,150,490
72,101,10232,Rマルマイン,60,50,70,80,80,150,490
73,103,103,ナッシー,95,95,85,125,75,55,530
74,103,10114,Rナッシー,95,105,85,125,75,45,530
75,105,105,ガラガラ,60,80,110,50,80,45,425
76,105,10115,Rガラガラ,60,80,110,50,80,45,425
77,106,106,サワムラー,50,120,53,35,110,87,455
78,107,107,エビワラー,50,105,79,35,110,76,455
79,108,108,ベロリンガ,90,55,75,60,75,30,385
80,110,110,マタドガス,65,90,120,85,70,60,490
81,110,10167,Rマタドガス,65,90,120,85,70,60,490
82,112,112,サイドン,105,130,120,45,45,40,485
83,113,113,ラッキー,250,5,5,35,105,50,450
84,114,114,モンジャラ,65,55,115,100,40,60,435
85,115,115,ガルーラ,105,95,80,40,80,90,490
86,115,10039,メガガルーラ,105,125,100,60,100,100,590
87,119,119,アズマオウ,80,92,65,65,80,68,450
88,121,121,スターミー,60,75,85,100,85,115,520
89,121,10280,メガスターミー,60,140,105,130,105,120,660
90,122,10168,Rバリヤード,50,65,65,90,90,100,460
91,122,122,バリヤード,40,45,65,100,120,90,460
92,123,123,ストライク,70,110,80,55,80,105,500
93,124,124,ルージュラ,65,50,35,115,95,95,455
94,125,125,エレブー,65,83,57,95,85,105,490
95,126,126,ブーバー,65,95,57,100,85,93,495
96,127,127,カイロス,65,125,100,55,70,85,500
97,127,10040,メガカイロス,65,155,120,65,90,105,600
98,128,128,ケンタロス,75,100,95,40,70,110,490
99,128,10250,闘ケンタロス,75,110,105,30,70,100,490
100,128,10251,炎ケンタロス,75,110,105,30,70,100,490
101,128,10252,水ケンタロス,75,110,105,30,70,100,490
102,130,130,ギャラドス,95,125,79,60,100,81,540
103,130,10041,メガギャラドス,95,155,109,70,130,81,640
104,131,131,ラプラス,130,85,80,85,95,60,535
105,132,132,メタモン,48,48,48,48,48,48,288
106,134,134,シャワーズ,130,65,60,110,95,65,525
107,135,135,サンダース,65,65,60,110,95,130,525
108,136,136,ブースター,65,130,60,95,110,65,525
109,139,139,オムスター,70,60,125,115,70,55,495
110,141,141,カブトプス,60,115,105,65,70,80,495
111,142,142,プテラ,80,105,65,60,75,130,515
112,142,10042,メガプテラ,80,135,85,70,95,150,615
113,143,143,カビゴン,160,110,65,65,110,30,540
114,144,10169,Rフリーザー,90,85,85,125,100,95,580
115,144,144,フリーザー,90,85,100,95,125,85,580
116,145,145,サンダー,90,90,85,125,90,100,580
117,145,10170,Rサンダー,90,125,90,85,90,100,580
118,146,146,ファイヤー,90,100,90,125,85,90,580
119,146,10171,Rファイヤー,90,85,90,100,125,90,580
120,149,149,カイリュー,91,134,95,100,100,80,600
